,Agent,Allocated,Percentage (%)
10,S32,4.387866,4.39
9,S31,4.11701,4.12
24,S69,3.894306,3.89
32,S89,3.779945,3.78
0,S3,3.776935,3.78
22,S66,3.707716,3.71
27,S80,3.596365,3.6
1,S5,3.397737,3.4
30,S84,3.289394,3.29
25,S71,3.274347,3.27
16,S54,3.036596,3.04
34,S93,3.033586,3.03
15,S51,3.018539,3.02
14,S48,2.961358,2.96
6,S17,2.931263,2.93
2,S6,2.883111,2.88
35,S95,2.877088,2.88
26,S74,2.856025,2.86
3,S9,2.846997,2.85
33,S91,2.786806,2.79
5,S15,2.744673,2.74
11,S33,2.621283,2.62
21,S65,2.540026,2.54
18,S57,2.482846,2.48
20,S60,2.45576,2.46
13,S42,2.440713,2.44
23,S68,2.311304,2.31
17,S55,2.169857,2.17
8,S29,2.046467,2.05
7,S25,1.90502,1.91
4,S11,1.847839,1.85
29,S83,1.820754,1.82
28,S81,1.796678,1.8
12,S37,1.504755,1.5
31,S87,1.438546,1.44
19,S59,1.420489,1.42
