,Agent,Allocated,Percentage (%)
13,S22,3.761486,3.76
19,S30,3.690461,3.69
3,A4,3.412024,3.41
27,S49,3.241583,3.24
41,S92,3.150671,3.15
15,S24,3.14783,3.15
20,S34,3.068282,3.07
37,S82,3.008621,3.01
25,S46,3.002939,3
21,S39,2.889299,2.89
38,S85,2.886458,2.89
31,S61,2.880776,2.88
10,S19,2.846684,2.85
8,S13,2.784182,2.78
42,S96,2.707475,2.71
12,S21,2.679065,2.68
28,S50,2.537015,2.54
22,S40,2.443262,2.44
9,S16,2.3836,2.38
1,A2,2.380162,2.38
29,S56,2.366554,2.37
24,S43,2.358031,2.36
6,S2,2.338144,2.34
26,S47,2.292688,2.29
18,S28,2.275642,2.28
0,A1,2.110449,2.11
33,S67,2.090977,2.09
7,S10,1.84381,1.84
36,S78,1.755739,1.76
32,S63,1.750057,1.75
16,S26,1.73017,1.73
5,S1,1.684714,1.68
23,S41,1.630735,1.63
11,S20,1.551187,1.55
43,S97,1.480162,1.48
40,S90,1.477321,1.48
2,A3,1.469624,1.47
34,S70,1.429024,1.43
17,S27,1.340953,1.34
14,S23,1.187539,1.19
39,S86,1.110832,1.11
30,S58,1.07674,1.08
35,S75,1.028443,1.03
44,S98,0.914803,0.91
4,A5,0.803787,0.8
