,Agent,Allocated,Percentage (%)
20,S88,7.526284,7.53
22,S99,6.737768,6.74
9,S44,5.929034,5.93
14,S64,5.893651,5.89
6,S35,5.565103,5.57
13,S62,5.458957,5.46
5,S18,5.196118,5.2
1,S7,5.135463,5.14
7,S36,4.882734,4.88
12,S53,4.68055,4.68
8,S38,4.266074,4.27
11,S52,4.190255,4.19
23,S100,4.089163,4.09
3,S12,3.75556,3.76
0,S4,3.523049,3.52
4,S14,3.421957,3.42
17,S76,3.103518,3.1
16,S73,3.052972,3.05
18,S77,2.593004,2.59
2,S8,2.441367,2.44
21,S94,2.365548,2.37
10,S45,2.309947,2.31
15,S72,2.052163,2.05
19,S79,1.829761,1.83
